Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Home,openSPOT,SharkRF,,,445.520000,OFF,0.000000,DV,OFF,88.5Hz,YES,Exact,37.458833,-122.247667,-8:00
3,United Kingdom,ABERGAVENNY,Wales,MB6AA  C,MB6AA  G,144.837500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.833800,-3.095500,0:00
3,United Kingdom,Aberdeen,Scotland,GB7GD  C,GB7GD  G,145.687500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,57.119983,-2.150000,0:00
3,United Kingdom,Aberdeen,Scotland,MB6ST  C,MB6ST  G,144.837500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,57.193167,-2.258833,0:00
3,United Kingdom,Abergavenny,Wales,MB6IAA B,MB6IAA G,431.075000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.833667,-3.090833,0:00
3,United Kingdom,Accrington,England,GB3RF  C,GB3RF  G,145.775000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,53.750000,-2.370000,0:00
3,United Kingdom,Ahoghill Ballyme,Ireland,MB6BM  C,MB6BM  G,144.862500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,54.506500,-6.219500,0:00
3,United Kingdom,Airdrie,Scotland,GB7DA  B,GB7DA  G,439.625000,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,55.884500,-3.989167,0:00
3,United Kingdom,Airdrie,Scotland,GB7DA  C,GB7DA  G,145.775000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,55.884500,-3.989167,0:00
3,United Kingdom,Airdrie,Scotland,MB6IGD C,MB6IGD G,144.825000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,55.884500,-3.989167,0:00
3,United Kingdom,Amersham,England,GB7AU  B,GB7AU  G,439.700000,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,51.650000,-0.620000,0:00
3,United Kingdom,Antrim,Northern,MB6OH  C,MB6OH  G,144.850000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,54.689983,-6.199983,0:00
3,United Kingdom,Ashford,England,GB7DX  B,GB7DX  G,439.700000,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,51.119983,0.870000,0:00
3,United Kingdom,Atherton,England,MB6IMG B,MB6IMG G,431.112500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,53.525833,-2.491500,0:00
3,United Kingdom,Axminster,England,MB6AX  C,MB6AX  G,144.812500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,50.772833,-2.991833,0:00
3,United Kingdom,Ballycastle,Ireland,MB6BC  C,MB6BC  G,144.837500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,55.204500,-6.242167,0:00
3,United Kingdom,Barnsley,England,GB7YD  B,GB7YD  G,439.512500,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,53.580000,-1.360000,0:00
3,United Kingdom,Barnsley,England,GB7YD  C,GB7YD  G,145.675000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,53.580000,-1.360000,0:00
3,United Kingdom,Barry,Wales,MB6BA  C,MB6BA  G,144.862500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.419983,-3.279983,0:00
3,United Kingdom,Basildon,England,MB6ZZ  C,MB6ZZ  G,144.862500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.569983,0.460000,0:00
3,United Kingdom,Beccles,England,GB7BE  B,GB7BE  G,439.662500,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,52.439667,1.590333,0:00
3,United Kingdom,Belfast,Northern,GB7NI  C,GB7NI  G,145.750000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,54.569983,-5.869983,0:00
3,United Kingdom,Belper,England,MB6GX  C,MB6GX  G,144.837500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,53.021167,-1.468500,0:00
3,United Kingdom,Belper,England,MB6IGX B,MB6IGX G,431.087500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,53.021000,-1.468333,0:00
3,United Kingdom,Bewdley,England,GB7WF  B,GB7WF  G,439.487500,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,52.369983,-2.329983,0:00
3,United Kingdom,Biggleswade,England,MB6IXY B,MB6IXY G,434.475000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,52.144833,0.440333,0:00
3,United Kingdom,Birkenhead,England,MB6IBH C,MB6IBH G,144.825000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,53.385333,-3.025333,0:00
3,United Kingdom,Birmingham,England,GB7BM  B,GB7BM  G,439.400000,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,52.459983,-1.889983,0:00
3,United Kingdom,Blandford Forum,England,MB6BF  C,MB6BF  G,144.812500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,50.858833,-2.158333,0:00
3,United Kingdom,Bletchley Park,England,GB7BP  B,GB7BP  G,439.450000,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,51.991667,-0.737333,0:00
3,United Kingdom,Bournemouth,England,MB6IPO B,MB6IPO G,431.087500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,50.727767,-1.924850,0:00
3,United Kingdom,Brandon Norfolk,England,MB6BD  C,MB6BD  G,144.837500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,52.438833,3.592333,0:00
3,United Kingdom,Bridgend,Wales,GB7RB  C,GB7RB  G,145.675000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,51.500000,-3.589983,0:00
3,United Kingdom,Brighton,England,GB7SB  C,GB7SB  G,145.600000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,50.825333,-0.108667,0:00
3,United Kingdom,Brighton,England,MB6HN  C,MB6HN  G,144.837500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,50.836833,-0.223667,0:00
3,United Kingdom,Bristol Thornbur,England,GB7AD  B,GB7AD  G,439.912500,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,51.590000,-2.549983,0:00
3,United Kingdom,Bristol,England,GB7BD  B,GB7BD  G,439.450000,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,51.400183,-2.737717,0:00
3,United Kingdom,Bromsgrove,England,MB6IDG B,MB6IDG G,431.125000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,52.357733,-2.091933,0:00
3,United Kingdom,Bromsgrove,Wales,GB7DG  B,GB7DG  G,439.537500,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,52.354667,-2.088500,0:00
3,United Kingdom,Brynmawr,Wales,MB6AC  C,MB6AC  G,144.812500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.800500,-3.167500,0:00
3,United Kingdom,Brynmawr,Wales,MB6IAC B,MB6IAC G,431.100000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.800833,-3.168333,0:00
3,United Kingdom,Burnley 2M,England,MB6BU  C,MB6BU  G,144.862500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,53.819000,-2.235833,0:00
3,United Kingdom,Burntwood-Staff,England,MB6BW  C,MB6BW  G,144.862500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,52.669983,-1.899983,0:00
3,United Kingdom,Bury Lancs,England,GB7MA  C,GB7MA  G,145.600000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,53.609833,-2.252333,0:00
3,United Kingdom,Caerphilly,England,MB6IRL B,MB6IRL G,431.137500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.580000,-3.210000,0:00
3,United Kingdom,Caerphilly,Wales,MB6RL  C,MB6RL  G,144.812500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.584667,-3.202333,0:00
3,United Kingdom,Cambridge,England,GB7PI  B,GB7PI  G,439.912500,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,52.000000,-0.010000,0:00
3,United Kingdom,Cardiff,Wales,GB7CD  B,GB7CD  G,439.700000,DUP-,9.000000,DV,OFF,88.5Hz,YES,Approximate,51.470000,-3.180000,0:00
3,United Kingdom,Carlisle,England,MB6CA  C,MB6CA  G,144.812500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,54.913183,-2.767317,0:00
3,United Kingdom,Carrickfergus,Ireland,MB6NI  C,MB6NI  G,144.837500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,54.435500,-5.473667,0:00
3,United Kingdom,Chelmsford Essex,England,MB6CE  C,MB6CE  G,144.812500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.738000,0.517000,0:00
3,United Kingdom,Clacton on Sea 1,England,MB6CL  B,MB6CL  G,430.187500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.808167,1.167833,0:00
3,United Kingdom,Clacton on Sea 2,England,MB6DS  C,MB6DS  G,144.837500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.802167,1.137500,0:00
